,timestamp,distance,enhanced_speed,enhanced_altitude,140,power,cycle_length16,heart_rate,cadence,activity_type,fractional_cadence,107,135,136,143,position_lat,position_long,accumulated_power,vertical_oscillation,stance_time,vertical_ratio,step_length,l__is_running__b,l__cadence__steps per min,l__gct__ms,l__fsa__deg,l__total_distance__m,l__stride_count__strides,r__is_running__b,r__cadence__steps per min,r__gct__ms,r__fsa__deg,r__total_distance__m,r__stride_count__strides,l__vgrf_curve_bn_0__,l__vgrf_curve_bn_1__,l__vgrf_curve_bn_2__,l__vgrf_curve_bn_3__,r__vgrf_curve_bn_0__,r__vgrf_curve_bn_1__,r__vgrf_curve_bn_2__,r__vgrf_curve_bn_3__,l__stride_length__m,l__speed__mps,l__vgrf_avg__bw,l__vgrf_active_peak__bw,l__lr__bwps,r__stride_length__m,r__speed__mps,r__vgrf_avg__bw,r__vgrf_active_peak__bw,r__lr__bwps
0,2025-12-17 15:57:25+00:00,0.0,0.0,115.79999999999995,0,0,0.0,110,0,running,0.0,0,118,110,66,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2025-12-17 15:57:26+00:00,0.0,0.0,115.79999999999995,0,0,0.0,109,0,running,0.0,0,113,109,66,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2025-12-17 15:57:27+00:00,0.0,0.0,115.79999999999995,0,0,0.0,109,0,running,0.0,0,113,109,66,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2025-12-17 15:57:28+00:00,0.0,0.0,115.60000000000002,0,0,520.11,109,0,running,0.0,1,113,109,66,542901493.0,-1465390820.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2025-12-17 15:57:29+00:00,3.31,0.0,115.60000000000002,0,0,0.0,108,0,running,0.0,1,94,108,66,542901092.0,-1465390823.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2025-12-17 15:57:30+00:00,3.62,0.0,115.60000000000002,0,0,526.56,108,0,running,0.0,1,94,108,66,542901061.0,-1465390915.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2025-12-17 15:57:31+00:00,3.62,0.0,115.60000000000002,0,0,0.0,107,0,running,0.0,1,87,107,66,542901004.0,-1465391221.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2025-12-17 15:57:32+00:00,5.08,1.67,115.60000000000002,1670,112,526.56,107,81,running,0.0,1,87,107,66,542900826.0,-1465391248.0,112.0,72.1,294.0,11.67,618.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2025-12-17 15:57:33+00:00,5.08,1.838,115.60000000000002,1838,124,0.0,108,83,running,0.5,1,83,108,66,542900703.0,-1465391428.0,236.0,74.1,284.0,11.15,664.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2025-12-17 15:57:34+00:00,7.16,1.838,115.39999999999998,1838,127,526.56,109,83,running,0.5,1,78,109,66,542900437.0,-1465391614.0,363.0,74.1,284.0,11.15,664.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2025-12-17 15:57:35+00:00,9.92,1.838,115.39999999999998,1819,130,0.0,109,83,running,0.5,1,78,109,66,542900740.0,-1465391897.0,493.0,74.1,284.0,11.15,664.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2025-12-17 15:57:36+00:00,11.6,1.885,115.39999999999998,1866,129,526.56,110,83,running,0.5,1,74,110,66,542900849.0,-1465391993.0,622.0,75.3,283.0,11.05,681.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2025-12-17 15:57:37+00:00,13.36,2.155,115.39999999999998,2133,151,0.0,111,83,running,0.5,1,72,111,66,542901021.0,-1465392134.0,773.0,82.3,277.0,10.57,779.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2025-12-17 15:57:38+00:00,14.84,2.146,115.60000000000002,2124,151,0.0,112,83,running,0.5,1,70,112,66,542901234.0,-1465392184.0,924.0,82.2,277.0,10.59,775.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2025-12-17 15:57:39+00:00,16.42,2.146,115.60000000000002,2124,156,526.56,113,79,running,0.0,1,66,113,66,542901414.0,-1465392340.0,1080.0,89.6,290.0,10.99,814.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2025-12-17 15:57:40+00:00,19.23,1.866,115.60000000000002,1847,129,0.0,113,79,running,0.0,1,66,113,66,542901800.0,-1465392419.0,1209.0,80.8,297.0,11.41,708.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2025-12-17 15:57:41+00:00,21.24,1.866,115.60000000000002,1847,129,526.56,114,85,running,0.5,1,58,114,66,542901976.0,-1465392413.0,1338.0,80.8,297.0,11.41,708.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2025-12-17 15:57:42+00:00,23.44,2.239,115.60000000000002,2217,152,0.0,114,85,running,0.5,1,58,114,66,542902249.0,-1465392417.0,1490.0,79.0,267.0,10.11,781.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2025-12-17 15:57:43+00:00,27.55,2.267,115.60000000000002,2244,155,526.56,115,85,running,0.5,1,55,115,66,542902662.0,-1465392524.0,1645.0,79.7,266.0,10.08,790.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2025-12-17 15:57:44+00:00,28.42,2.267,115.60000000000002,2244,162,526.56,115,84,running,0.5,1,55,115,66,542902807.0,-1465392402.0,1807.0,81.4,269.0,10.17,800.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2025-12-17 15:57:45+00:00,30.64,2.342,115.60000000000002,2318,170,526.56,116,84,running,0.5,1,54,116,66,542902995.0,-1465392410.0,1977.0,83.2,267.0,10.07,826.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2025-12-17 15:57:46+00:00,33.12,2.37,115.39999999999998,2332,164,526.56,117,84,running,0.5,1,53,117,66,542903124.0,-1465392884.0,2141.0,85.8,269.0,10.13,846.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2025-12-17 15:57:47+00:00,34.42,2.37,115.39999999999998,2332,163,526.56,117,84,running,0.5,1,53,117,66,542903073.0,-1465393106.0,2304.0,85.8,269.0,10.13,846.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2025-12-17 15:57:48+00:00,35.68,2.37,115.60000000000002,2332,163,514.24,118,81,running,0.5,1,52,118,66,542902845.0,-1465393130.0,2467.0,89.7,275.0,10.34,867.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2025-12-17 15:57:49+00:00,37.85,2.286,115.39999999999998,2250,152,514.24,119,81,running,0.5,1,49,119,66,542902686.0,-1465393244.0,2619.0,87.5,277.0,10.47,836.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2025-12-17 15:57:50+00:00,38.1,2.258,115.39999999999998,2222,149,514.24,119,81,running,0.5,1,49,119,66,542902717.0,-1465393303.0,2768.0,87.0,277.0,10.54,826.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2025-12-17 15:57:51+00:00,38.1,2.249,115.39999999999998,2213,149,500.05,120,80,running,0.5,1,49,120,66,542902801.0,-1465393270.0,2917.0,90.6,284.0,10.75,843.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2025-12-17 15:57:52+00:00,39.8,2.249,115.39999999999998,2213,0,500.05,120,0,running,0.0,1,49,120,66,542902970.0,-1465393211.0,2917.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2025-12-17 15:57:53+00:00,40.78,2.053,115.60000000000002,2020,0,500.05,120,0,running,0.0,1,49,120,66,542903093.0,-1465393204.0,2917.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2025-12-17 15:57:54+00:00,41.3,2.006,115.60000000000002,1974,0,500.05,121,0,running,0.0,1,50,121,66,542903123.0,-1465393196.0,2917.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2025-12-17 15:57:55+00:00,42.16,1.95,115.60000000000002,1919,0,500.05,121,0,running,0.0,1,50,121,66,542903182.0,-1465393128.0,2917.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2025-12-17 15:57:56+00:00,43.07,1.838,115.60000000000002,1809,0,443.27,122,0,running,0.0,1,49,122,66,542903240.0,-1465393016.0,2917.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2025-12-17 15:57:57+00:00,43.07,0.0,115.60000000000002,0,0,443.27,122,0,running,0.0,1,49,122,66,542903255.0,-1465392948.0,2917.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2025-12-17 15:57:58+00:00,43.74,0.0,115.39999999999998,0,0,443.27,123,0,running,0.0,1,47,123,66,542903309.0,-1465392884.0,2917.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2025-12-17 15:57:59+00:00,44.41,0.0,115.39999999999998,0,0,443.27,123,0,running,0.0,1,47,123,66,542903358.0,-1465392844.0,2917.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2025-12-17 15:58:00+00:00,44.41,0.0,115.39999999999998,0,0,342.49,123,0,running,0.0,1,47,123,66,542903350.0,-1465392914.0,2917.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2025-12-17 15:58:01+00:00,44.84,0.0,115.39999999999998,0,0,342.49,123,0,running,0.0,1,47,123,66,542903413.0,-1465392875.0,2917.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2025-12-17 15:58:02+00:00,46.01,0.0,115.39999999999998,0,0,0.0,123,0,running,0.0,1,47,123,66,542903476.0,-1465392742.0,2917.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2025-12-17 15:58:03+00:00,46.82,0.308,115.60000000000002,305,0,0.0,123,0,running,0.0,1,47,123,66,542903539.0,-1465392666.0,2917.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2025-12-17 15:58:04+00:00,46.9,0.308,115.60000000000002,305,43,0.0,123,57,running,0.5,1,47,123,66,542903609.0,-1465392625.0,2960.0,49.8,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2025-12-17 15:58:05+00:00,48.07,0.504,115.60000000000002,499,47,0.0,124,57,running,0.5,1,41,124,66,542903657.0,-1465392498.0,3007.0,51.4,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2025-12-17 15:58:06+00:00,49.25,0.551,115.39999999999998,546,0,0.0,124,0,running,0.0,1,41,124,66,542903736.0,-1465392426.0,3007.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2025-12-17 15:58:07+00:00,50.31,0.69,115.39999999999998,684,0,,124,0,running,0.0,1,41,124,66,542903813.0,-1465392302.0,3007.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2025-12-17 15:58:08+00:00,50.49,0.784,115.39999999999998,777,0,0.0,124,0,running,0.0,1,41,124,66,542903777.0,-1465392213.0,3007.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2025-12-17 15:58:09+00:00,51.34,0.793,115.39999999999998,786,0,0.0,124,0,running,0.0,1,41,124,66,542903639.0,-1465392197.0,3007.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2025-12-17 15:58:10+00:00,52.49,0.802,115.39999999999998,795,0,0.0,125,0,running,0.0,1,47,125,66,542903486.0,-1465392282.0,3007.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2025-12-17 15:58:11+00:00,54.77,0.802,115.39999999999998,795,0,0.0,125,0,running,0.0,1,47,125,66,542903238.0,-1465392438.0,3007.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2025-12-17 15:58:12+00:00,58.88,0.849,115.60000000000002,841,49,0.0,125,53,running,0.5,1,47,125,66,542902781.0,-1465392665.0,3056.0,54.2,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2025-12-17 15:58:13+00:00,62.86,1.008,115.39999999999998,999,53,0.0,126,53,running,0.5,1,50,126,66,542902416.0,-1465392805.0,3109.0,55.4,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2025-12-17 15:58:14+00:00,67.13,3.499,115.20000000000005,3467,165,0.0,126,53,running,0.5,1,50,126,66,542901969.0,-1465392949.0,3274.0,75.6,,3.89,1943.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2025-12-17 15:58:15+00:00,72.31,3.798,115.0,3763,95,0.0,126,0,running,0.0,1,50,126,66,542901356.0,-1465393090.0,3274.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2025-12-17 15:58:16+00:00,77.79,4.124,115.0,4087,95,0.0,126,0,running,0.0,1,50,126,66,542900781.0,-1465393031.0,3274.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2025-12-17 15:58:17+00:00,82.78,4.759,114.79999999999995,4716,95,0.0,126,104,running,0.0,1,50,126,66,542900227.0,-1465392978.0,3559.0,80.7,169.0,5.82,1386.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2025-12-17 15:58:18+00:00,88.74,5.001,114.79999999999995,4836,291,0.0,126,104,running,0.0,1,50,126,66,542899539.0,-1465392873.0,3850.0,81.2,159.0,5.63,1442.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2025-12-17 15:58:19+00:00,94.61,5.197,114.79999999999995,5026,299,0.0,125,104,running,0.0,1,64,125,66,542898877.0,-1465392680.0,4149.0,80.8,159.0,5.39,1499.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2025-12-17 15:58:20+00:00,99.31,5.645,114.79999999999995,5459,318,0.0,126,103,running,0.5,1,65,126,66,542898516.0,-1465392356.0,4467.0,80.7,162.0,4.91,1644.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2025-12-17 15:58:21+00:00,104.06,5.645,114.79999999999995,5459,318,0.0,126,103,running,0.0,1,65,126,66,542897996.0,-1465391875.0,4785.0,80.7,162.0,4.91,1644.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2025-12-17 15:58:22+00:00,110.15,5.011,114.79999999999995,4845,267,,125,102,running,0.5,1,67,125,66,542897412.0,-1465391323.0,5052.0,82.3,162.0,5.64,1459.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2025-12-17 15:58:23+00:00,114.95,5.011,114.79999999999995,4845,267,,126,102,running,0.5,1,69,126,66,542897104.0,-1465390765.0,5319.0,82.3,162.0,5.64,1459.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2025-12-17 15:58:24+00:00,119.7,5.095,114.79999999999995,5012,270,,126,102,running,0.5,1,69,126,66,542896901.0,-1465390116.0,5589.0,82.2,162.0,5.53,1483.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2025-12-17 15:58:25+00:00,125.01,5.095,114.79999999999995,5012,271,0.0,126,102,running,0.5,1,69,126,66,542896667.0,-1465389280.0,5860.0,82.2,162.0,5.53,1483.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2025-12-17 15:58:26+00:00,130.64,5.104,114.79999999999995,5062,277,,126,102,running,0.5,1,69,126,66,542896553.0,-1465388380.0,6137.0,82.1,162.0,5.52,1486.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2025-12-17 15:58:27+00:00,135.62,5.216,114.60000000000002,5173,289,0.0,126,102,running,0.5,1,69,126,66,542896588.0,-1465387736.0,6426.0,81.9,162.0,5.39,1519.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2025-12-17 15:58:28+00:00,140.5,5.225,114.60000000000002,5182,287,,126,102,running,0.5,1,69,126,66,542896629.0,-1465386961.0,6713.0,81.9,162.0,5.38,1521.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
